data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-08-04 09:30:16.685463;0;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Margaret Parkins;feminino;dinheiro
2024-08-04 11:21:14.761253;1;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Mauro Francis;masculino;boleto
2024-08-04 12:40:15.025959;2;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Jesse Pittman;masculino;cartão de crédito
2024-08-05 11:18:14.099058;3;São Paulo;Ana Oliveira;Smartwatch Garmin;Patrick Smith;masculino;dinheiro
2024-08-05 12:18:17.382425;4;São Paulo;Ana Oliveira;Tablet Apple Ipad;Steve Souza;masculino;dinheiro
2024-08-05 13:57:14.763258;5;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Elizabeth Trower;feminino;dinheiro
2024-08-05 13:58:15.780144;6;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;William Isenhour;masculino;pix
2024-08-06 08:40:17.692002;7;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Rachel Devito;feminino;cartão de crédito
2024-08-06 09:59:15.673723;8;São Paulo;Ana Oliveira;Smartwatch Garmin;Nancy Lamar;feminino;cartão de crédito
2024-08-06 11:52:16.737090;9;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Lawrence Oroark;masculino;pix
2024-08-06 14:45:15.206223;10;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Donald Hall;masculino;cartão de crédito
2024-08-06 17:55:18.162859;11;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Nancy Greenlief;feminino;cartão de crédito
2024-08-07 10:42:13.884251;12;Florianópolis;Gabriela Santos;Tablet Apple Ipad;John Minor;masculino;boleto
2024-08-07 16:40:13.942244;13;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Chris Amundsen;masculino;dinheiro
2024-08-08 09:16:18.073394;14;São Paulo;Lucas Pereira;Tablet Apple Ipad;Sherry Schuelke;feminino;pix
2024-08-08 09:44:16.936284;15;Florianópolis;Tiago Lima;Smartwatch Garmin;Tina Olson;feminino;dinheiro
2024-08-08 10:42:16.006098;16;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Miguel Repp;masculino;pix
2024-08-08 14:32:16.257729;17;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Michele Touhey;feminino;dinheiro
2024-08-08 16:55:17.170406;18;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Nick Miltenberger;masculino;cartão de crédito
2024-08-09 09:52:13.278905;19;São Paulo;Ana Oliveira;Smartwatch Garmin;Christopher Kennedy;masculino;dinheiro
2024-08-09 11:23:17.778749;20;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Matthew Medina;masculino;dinheiro
2024-08-09 12:21:13.278905;21;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Timothy Lash;masculino;pix
2024-08-09 15:28:14.776439;22;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Edward Shapero;masculino;pix
2024-08-09 15:46:16.813011;23;Florianópolis;Tiago Lima;Smartwatch Garmin;Buddy Long;masculino;cartão de crédito
2024-08-09 16:13:14.940913;24;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Danielle Bailey;feminino;dinheiro
2024-08-09 17:38:16.539148;25;São Paulo;Ana Oliveira;Tablet Apple Ipad;Fred Allen;masculino;cartão de crédito
2024-08-10 13:56:14.920895;26;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;William Richmond;masculino;boleto
2024-08-10 15:59:16.933196;27;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Jennifer Silva;feminino;cartão de crédito
2024-08-10 17:18:16.011175;28;Florianópolis;Tiago Lima;Tablet Apple Ipad;Brian Manns;masculino;dinheiro
2024-08-10 17:19:13.964522;29;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Frances Markham;feminino;boleto
2024-08-11 10:19:15.282921;30;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Mary Marini;feminino;boleto
2024-08-11 13:45:16.295350;31;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Carl Hardison;masculino;pix
2024-08-11 17:27:14.137565;32;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Monique Lineberger;feminino;pix
2024-08-11 17:50:12.859800;33;Florianópolis;Tiago Lima;Fone de Ouvido Sony;William Thomas;masculino;pix
2024-08-12 08:13:15.553785;34;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Susan Yoder;feminino;boleto
2024-08-12 12:58:16.813011;35;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Jana Schlarbaum;feminino;pix
2024-08-12 13:55:15.279913;36;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Phillip Studebaker;masculino;cartão de crédito
2024-08-12 14:50:13.200436;37;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Alexander Miller;masculino;pix
2024-08-12 17:21:16.983723;38;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Jack Talley;masculino;boleto
2024-08-13 10:11:17.228528;39;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Carrie Slaubaugh;feminino;pix
2024-08-13 10:27:17.795949;40;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Andres Colvin;masculino;cartão de crédito
2024-08-13 12:30:13.402536;41;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Julie Allen;feminino;pix
2024-08-13 12:30:16.337385;42;Florianópolis;Gabriela Santos;Smartwatch Garmin;Sheila Johnson;feminino;boleto
2024-08-13 14:09:18.029937;43;Florianópolis;Tiago Lima;Smartwatch Garmin;Elizabeth Brathwaite;feminino;boleto
2024-08-13 15:17:18.113244;44;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Jessica Wackerly;feminino;dinheiro
2024-08-14 09:08:15.286935;45;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Enrique Schwartz;masculino;dinheiro
2024-08-14 11:01:15.374459;46;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Arthur Mandell;masculino;pix
2024-08-14 11:38:15.221332;47;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Lisa Spagnuolo;feminino;dinheiro
2024-08-14 11:46:12.991734;48;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Paul Cosby;masculino;pix
2024-08-14 11:50:17.011448;49;São Paulo;Ana Oliveira;Smartwatch Garmin;Derek Leon;masculino;cartão de crédito
2024-08-14 15:17:18.081428;50;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Jodi Bixby;feminino;cartão de crédito
2024-08-14 18:17:15.323784;51;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Edward Jackson;masculino;dinheiro
2024-08-15 07:49:13.576276;52;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Sylvester Foppiano;masculino;dinheiro
2024-08-15 08:32:16.777221;53;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Kerri Cochran;feminino;cartão de crédito
2024-08-15 09:14:14.886290;54;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Lauren Noble;feminino;pix
2024-08-15 13:10:15.046978;55;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Walter Obrien;masculino;dinheiro
2024-08-15 14:32:15.934548;56;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Lillian Stamison;feminino;dinheiro
2024-08-15 16:17:14.099058;57;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Mable Portela;feminino;pix
2024-08-15 17:08:17.837832;58;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Cynthia Rapp;feminino;dinheiro
2024-08-15 17:24:17.127738;59;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Kevin Faron;masculino;boleto
2024-08-16 11:57:12.787844;60;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Donald Moreno;masculino;boleto
2024-08-16 13:39:13.402536;61;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Joseph Horton;masculino;boleto
2024-08-16 16:35:17.629042;62;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Lelia Roberts;feminino;pix
2024-08-17 07:55:12.774659;63;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Homer Harper;masculino;cartão de crédito
2024-08-17 08:17:15.836207;64;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Donna Hattley;feminino;dinheiro
2024-08-17 08:38:13.309570;65;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Joan Rogers;feminino;dinheiro
2024-08-17 08:58:16.539148;66;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Patricia Mcgurk;feminino;boleto
2024-08-17 12:22:18.392208;67;Florianópolis;Tiago Lima;Tablet Apple Ipad;Richard Davenport;masculino;cartão de crédito
2024-08-17 12:38:15.674737;68;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Ellen Stoneking;feminino;pix
2024-08-17 14:06:13.779424;69;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Joseph Strader;masculino;pix
2024-08-17 14:41:14.624038;70;São Paulo;Ana Oliveira;Smartwatch Garmin;Amanda Allman;feminino;boleto
2024-08-17 16:49:18.012796;71;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Jane Vallone;feminino;pix
2024-08-18 10:56:18.060259;72;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Louis Vargas;masculino;boleto
2024-08-18 11:21:17.749317;73;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Ines Perry;feminino;boleto
2024-08-18 11:36:13.451238;74;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Monique Storey;feminino;dinheiro
2024-08-18 13:04:13.534700;75;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Vera Sirles;feminino;cartão de crédito
2024-08-18 16:15:15.079318;76;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Deshawn Velazquez;masculino;cartão de crédito
2024-08-19 09:49:17.751340;77;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Wallace Cerezo;masculino;dinheiro
2024-08-19 10:15:16.939296;78;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Robert Hudnell;masculino;boleto
2024-08-19 11:44:13.758068;79;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Michael Martinez;masculino;pix
2024-08-19 12:15:18.138457;80;São Paulo;Lucas Pereira;Smartwatch Garmin;Christine Castro;feminino;pix
2024-08-19 13:52:16.592718;81;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Dean Cohen;masculino;cartão de crédito
2024-08-19 14:16:17.433773;82;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Madeline Baranoski;feminino;pix
2024-08-19 17:20:13.064566;83;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Paul Ramseur;masculino;boleto
2024-08-19 17:29:17.888530;84;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Marvin Brown;masculino;cartão de crédito
2024-08-19 17:59:13.458460;85;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Francisco Shay;masculino;pix
2024-08-19 18:28:12.866304;86;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Orval Herold;masculino;boleto
2024-08-20 09:46:17.433773;87;São Paulo;Ana Oliveira;Smartwatch Garmin;Christopher Jackson;masculino;dinheiro
2024-08-20 13:49:16.952407;88;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Jennifer Sidwell;feminino;pix
2024-08-20 14:16:12.923567;89;São Paulo;Lucas Pereira;Smartwatch Garmin;James Siciliano;masculino;pix
2024-08-20 18:06:14.372537;90;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Irene Oberley;feminino;boleto
2024-08-21 08:53:15.867596;91;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Christa Corbin;feminino;cartão de crédito
2024-08-21 09:19:14.264986;92;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Jeanie Lazaroff;feminino;pix
2024-08-21 11:51:13.853968;93;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Troy Mccain;masculino;dinheiro
2024-08-21 12:10:17.510340;94;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Nicholas Thurman;masculino;dinheiro
2024-08-21 13:23:18.028934;95;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Carlos Hall;masculino;boleto
2024-08-21 17:52:13.976637;96;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;David Smith;masculino;boleto
2024-08-21 18:36:17.703703;97;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Franklin Bray;masculino;boleto
2024-08-22 15:01:16.721075;98;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Rita Simmons;feminino;pix
2024-08-22 16:35:15.161947;99;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Kay Nowak;feminino;dinheiro
2024-08-22 17:59:13.009587;100;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Tatiana Cheramie;feminino;boleto
2024-08-23 08:27:13.852965;101;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;James Nieto;masculino;cartão de crédito
2024-08-23 09:34:12.918530;102;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Ronald Boyd;masculino;cartão de crédito
2024-08-23 14:06:15.817988;103;São Paulo;Ana Oliveira;Tablet Apple Ipad;Benjamin Lyons;masculino;dinheiro
2024-08-23 14:56:12.922563;104;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Virgil Miller;masculino;pix
2024-08-23 16:10:18.079417;105;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;William Cody;masculino;dinheiro
2024-08-23 17:34:16.009135;106;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Evelyn Conner;feminino;dinheiro
2024-08-24 10:48:15.686886;107;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Gloria Lynn;feminino;boleto
2024-08-24 11:45:12.947937;108;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Bess Akin;feminino;pix
2024-08-24 12:49:15.128622;109;São Paulo;Ana Oliveira;Smartwatch Garmin;Jamel Hartman;masculino;dinheiro
2024-08-24 13:51:14.418775;110;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Yolanda Alpaugh;feminino;pix
2024-08-24 13:51:14.791586;111;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Dawn Martin;feminino;pix
2024-08-24 14:10:12.776727;112;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Alan Miller;masculino;boleto
2024-08-24 14:44:15.701468;113;São Paulo;Lucas Pereira;Smartwatch Garmin;Aline Macgregor;feminino;cartão de crédito
2024-08-25 13:04:17.511343;114;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Maria Howe;feminino;dinheiro
2024-08-25 13:49:14.532310;115;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Stacey Trombly;masculino;dinheiro
2024-08-25 17:17:16.365806;116;São Paulo;Lucas Pereira;Smartwatch Garmin;Dustin Graves;masculino;dinheiro
2024-08-25 17:34:15.159938;117;São Paulo;Lucas Pereira;Tablet Apple Ipad;Missy Brown;feminino;pix
2024-08-25 18:00:15.972019;118;São Paulo;Lucas Pereira;Smartwatch Garmin;Dennis Flores;masculino;cartão de crédito
2024-08-26 07:54:15.685883;119;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Natalie Neff;feminino;pix
2024-08-26 10:12:15.553785;120;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Jeffery Paille;masculino;cartão de crédito
2024-08-26 10:45:16.392129;121;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Donna Leigland;feminino;pix
2024-08-26 16:28:17.538706;122;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Charles Wagner;masculino;boleto
2024-08-27 10:04:16.958438;123;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Jason Britt;masculino;cartão de crédito
2024-08-27 10:07:13.077791;124;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Donna Green;feminino;cartão de crédito
2024-08-27 17:09:14.283126;125;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Noreen Woods;feminino;pix
2024-08-28 11:09:16.898378;126;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Andrew Blake;masculino;boleto
2024-08-28 11:26:13.280917;127;São Paulo;Lucas Pereira;Tablet Apple Ipad;Monica Villa;feminino;dinheiro
2024-08-28 13:49:15.561038;128;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Colette Medeiros;feminino;boleto
2024-08-28 15:00:15.131636;129;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Andre Addy;masculino;cartão de crédito
2024-08-28 18:21:18.065295;130;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Brenda Merritt;feminino;pix
2024-08-29 10:38:16.708064;131;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;William Turman;masculino;dinheiro
2024-08-29 11:34:17.021551;132;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Betty Mcgee;feminino;dinheiro
2024-08-29 13:07:14.615976;133;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Anna Horiuchi;feminino;boleto
2024-08-29 13:08:14.159810;134;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Delmar Villafana;masculino;boleto
2024-08-29 13:09:15.152783;135;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Rene Tillett;masculino;dinheiro
2024-08-29 13:55:15.384533;136;São Paulo;Ana Oliveira;Smartwatch Garmin;Michael Sommers;masculino;boleto
2024-08-29 14:21:14.552418;137;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Eva Smith;feminino;dinheiro
2024-08-29 14:32:14.623034;138;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Richard Barber;masculino;cartão de crédito
2024-08-29 16:48:14.762256;139;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Alice Ingram;feminino;cartão de crédito
2024-08-30 08:38:15.203213;140;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Pamela Ogg;feminino;boleto
2024-08-30 09:37:18.396299;141;São Paulo;Lucas Pereira;Notebook Dell Inspiron;David Hall;masculino;pix
2024-08-30 10:11:14.688877;142;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;James Mclellan;masculino;cartão de crédito
2024-08-30 14:43:13.609257;143;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Greg Shaw;masculino;boleto
2024-08-30 15:24:13.115866;144;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Randal Molter;masculino;boleto
2024-08-30 16:24:16.084597;145;São Paulo;Lucas Pereira;Tablet Apple Ipad;Christa Parrish;feminino;cartão de crédito
2024-08-30 18:17:13.007578;146;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Rodolfo Szymanski;masculino;cartão de crédito
2024-08-30 18:19:18.010772;147;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Devora Newman;feminino;cartão de crédito
2024-08-31 09:17:14.927901;148;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Judith Lowe;feminino;dinheiro
2024-08-31 09:25:15.561038;149;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Julie George;feminino;dinheiro
2024-08-31 11:45:12.922563;150;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Cindy Beck;feminino;boleto
2024-08-31 14:21:14.108066;151;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Keith Tse;masculino;boleto
2024-08-31 17:04:16.369833;152;São Paulo;Lucas Pereira;Fone de Ouvido Sony;James Cheung;masculino;pix
2024-09-01 07:46:16.375878;153;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;April Nimmo;feminino;dinheiro
2024-09-01 08:42:13.884251;154;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Charles Becker;masculino;pix
2024-09-01 08:49:14.142605;155;São Paulo;Lucas Pereira;Smartwatch Garmin;Theresa Apolo;feminino;dinheiro
2024-09-01 13:09:15.651584;156;São Paulo;Lucas Pereira;Tablet Apple Ipad;George Wilson;masculino;pix
2024-09-02 07:41:17.137827;157;São Paulo;Ana Oliveira;Smartwatch Garmin;Dianne Belles;feminino;boleto
2024-09-02 07:45:16.776210;158;Florianópolis;Tiago Lima;Smartwatch Garmin;Joseph Edwards;masculino;pix
2024-09-02 08:15:16.983723;159;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Tony Garcia;masculino;pix
2024-09-02 10:38:12.917525;160;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Sharon Noble;feminino;boleto
2024-09-02 11:23:14.578855;161;São Paulo;Ana Oliveira;Tablet Apple Ipad;Sandy Rodriguez;feminino;cartão de crédito
2024-09-02 13:33:13.410551;162;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Joshua Kelley;masculino;cartão de crédito
2024-09-03 12:36:13.851888;163;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Cristina Crocker;feminino;cartão de crédito
2024-09-03 12:42:13.417806;164;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;James Mucciolo;masculino;dinheiro
2024-09-03 13:02:12.928597;165;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Emily Castaneda;feminino;boleto
2024-09-03 14:06:17.692002;166;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Eric Ayala;masculino;pix
2024-09-04 08:19:15.399130;167;São Paulo;Lucas Pereira;Smartwatch Garmin;Lynn Harkness;feminino;boleto
2024-09-04 09:00:13.235849;168;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Corey Plummer;masculino;dinheiro
2024-09-04 09:39:14.855895;169;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Lucy Anderson;feminino;pix
2024-09-04 13:52:13.200436;170;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Allison Rehl;feminino;cartão de crédito
2024-09-04 14:47:14.836772;171;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Calvin Ross;masculino;pix
2024-09-05 14:13:15.363243;172;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Nancy Almeida;feminino;pix
2024-09-05 14:31:18.182998;173;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Patricia Dolphin;feminino;boleto
